Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,20016000.00,20,02
2,20017600.00,00,5D
3,20020960.00,00,80
4,20022560.00,00,00
5,20025510.00,00,00
6,20027110.00,00,00
7,20030060.00,00,00
8,20031660.00,00,00
9,20034610.00,00,00
10,20036210.00,00,00
11,20039160.00,49,00
12,20040760.00,91,00
13,20043710.00,83,00
14,20045310.00,2A,00
15,20048260.00,80,00
16,20049860.00,00,00
17,20052810.00,00,00
18,20054410.00,00,00
19,20081210.00,00,00
20,20082810.00,00,00
21,20086180.00,00,00
22,20087780.00,00,00
23,20090730.00,00,00
24,20092330.00,00,00
25,20095280.00,00,00
26,20096880.00,00,00
27,20099830.00,00,00
28,20101430.00,00,00
29,20104380.00,F1,00
30,20105980.00,BD,00
31,20108930.00,80,00
32,20110530.00,00,00
33,20113480.00,00,00
34,20115080.00,00,00
35,20118030.00,00,00
36,20119630.00,00,00
37,20146700.00,00,50
38,20148300.00,00,00
39,20151660.00,00,00
40,20153260.00,00,00
41,20156210.00,00,00
42,20157810.00,00,00
43,20160760.00,00,00
44,20162360.00,00,00
45,20165310.00,00,00
46,20166910.00,00,00
47,20169860.00,70,00
48,20171460.00,9C,00
49,20174410.00,92,00
50,20176010.00,02,00
51,20178960.00,80,00
52,20180560.00,00,00
53,20183510.00,00,00
54,20185110.00,00,00
55,20213060.00,00,00
56,20214660.00,07,00
57,20218030.00,80,00
58,20219630.00,0C,00
59,20222580.00,00,00
60,20224180.00,13,00
61,20227130.00,00,00
62,20228730.00,0B,00
63,20231680.00,80,00
64,20233280.00,09,00
65,20236230.00,FE,00
66,20237830.00,15,00
67,20240780.00,80,00
68,20242380.00,00,00
69,20245330.00,00,00
70,20246930.00,0C,00
71,20249880.00,00,00
72,20251480.00,13,00
73,22391760.00,00,30
74,22393360.00,07,80
75,22396730.00,80,00
76,22398320.00,05,02
77,22401270.00,80,80
78,22402880.00,1A,00
79,22405820.00,80,00
80,22407430.00,03,00
81,22410370.00,00,00
82,22411980.00,0D,00
83,22414920.00,03,00
84,22416520.00,72,00
85,22419820.00,A1,00
86,22421430.00,80,00
87,22424370.00,00,00
88,22425980.00,0D,00
89,22428930.00,80,00
90,22430530.00,0A,00
91,22457280.00,00,00
92,22458870.00,07,00
93,22462240.00,80,00
94,22463840.00,05,00
95,22466790.00,80,00
96,22468390.00,0A,00
97,22471340.00,80,00
98,22472940.00,03,00
99,22475890.00,00,00
100,22477490.00,05,00
101,22480440.00,03,00
102,22482040.00,52,00
103,22484990.00,80,00
104,22486590.00,00,00
105,22489540.00,00,00
106,22491140.00,05,00
107,22494090.00,80,00
108,22495690.00,0A,00
109,22524010.00,00,50
110,22525610.00,07,80
111,22528980.00,80,00
112,22530580.00,0F,00
113,22533530.00,80,00
114,22535130.00,1E,00
115,22538080.00,00,00
116,22539680.00,07,00
117,22542630.00,00,00
118,22544230.00,0F,00
119,22547180.00,FE,00
120,22548780.00,FF,00
121,22551730.00,80,00
122,22553330.00,07,00
123,22556280.00,80,00
124,22557880.00,0F,00
125,22560830.00,80,00
126,22562430.00,1E,00
127,22588830.00,00,00
128,22590430.00,00,00
129,22593790.00,00,00
130,22595390.00,05,00
131,22598340.00,80,00
132,22599940.00,0A,00
133,22602890.00,00,00
134,22604490.00,03,00
135,22607440.00,00,00
136,22609040.00,05,00
137,22611990.00,92,00
138,22613590.00,40,00
139,22616540.00,80,00
140,22618140.00,00,00
141,22621090.00,00,00
142,22622690.00,05,00
143,22625640.00,80,00
144,22627240.00,0A,00
