Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,20015980.00,22,03
2,20017580.00,00,2A
3,20020950.00,00,00
4,20022550.00,00,00
5,20025500.00,00,00
6,20027100.00,00,00
7,20030050.00,00,00
8,20031650.00,00,00
9,20034600.00,00,00
10,20036200.00,00,00
11,20039150.00,3F,00
12,20040750.00,1F,00
13,20043700.00,07,00
14,20045300.00,7F,00
15,20048250.00,80,00
16,20049850.00,00,00
17,20052800.00,00,00
18,20054400.00,00,00
19,20081100.00,06,00
20,20082700.00,00,00
21,20086060.00,00,00
22,20087660.00,00,00
23,20090610.00,00,00
24,20092210.00,00,00
25,20095160.00,00,00
26,20096760.00,00,00
27,20099710.00,00,00
28,20101310.00,00,00
29,20104260.00,26,00
30,20105860.00,06,00
31,20108810.00,02,00
32,20110410.00,00,00
33,20113360.00,00,00
34,20114960.00,00,00
35,20117910.00,00,00
36,20119510.00,00,00
37,20145930.00,02,00
38,20147530.00,00,08
39,20150900.00,00,00
40,20152500.00,00,00
41,20155450.00,00,00
42,20157050.00,00,00
43,20160000.00,00,00
44,20161600.00,00,00
45,20164550.00,00,00
46,20166150.00,00,00
47,20169100.00,66,00
48,20170700.00,06,00
49,20175230.00,7F,00
50,20176830.00,92,00
51,20179780.00,00,00
52,20181380.00,00,00
53,20184330.00,00,00
54,20185930.00,00,00
55,20212230.00,02,00
56,20213830.00,80,00
57,20217200.00,00,00
58,20218800.00,00,00
59,20221750.00,00,00
60,20223350.00,00,00
61,20226300.00,00,00
62,20227900.00,00,00
63,20230850.00,00,00
64,20232450.00,00,00
65,20235400.00,00,00
66,20237000.00,00,00
67,20239950.00,00,00
68,20241550.00,00,00
69,20244500.00,00,00
70,20246100.00,3F,00
71,20249050.00,CE,00
72,20250650.00,80,00
73,20277980.00,02,03
74,20279580.00,80,2A
75,20282950.00,00,00
76,20284550.00,00,00
77,20287500.00,00,00
78,20289100.00,00,00
79,20292050.00,00,00
80,20293650.00,00,00
81,20296600.00,00,00
82,20298200.00,00,00
83,20301150.00,00,00
84,20302750.00,00,00
85,20305700.00,00,00
86,20307300.00,00,00
87,20310250.00,00,00
88,20311850.00,3D,00
89,20314800.00,C6,00
90,20316400.00,80,00
91,20343260.00,03,00
92,20344860.00,2A,00
93,20348220.00,80,00
94,20349820.00,00,00
95,20352770.00,00,00
96,20354370.00,00,00
97,20357320.00,00,00
98,20358920.00,00,00
99,20361870.00,00,00
100,20363470.00,00,00
101,20366420.00,00,00
102,20368020.00,00,00
103,20370970.00,00,00
104,20372570.00,00,00
105,20375520.00,00,00
106,20377120.00,79,00
107,20380070.00,92,00
108,20381670.00,00,00
109,20408790.00,02,B0
110,20410380.00,80,00
111,20413750.00,00,00
112,20415350.00,00,00
113,20418300.00,00,00
114,20419900.00,00,00
115,20422850.00,00,00
116,20424450.00,00,00
117,20427400.00,00,00
118,20429000.00,00,00
119,20431950.00,00,00
120,20433550.00,00,00
121,20436500.00,00,00
122,20438100.00,00,00
123,20441050.00,00,00
124,20442650.00,3D,00
125,20445600.00,C6,00
