Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
126,20447200.00,80,00
127,20473510.00,12,00
128,20475110.00,02,00
129,20478470.00,80,00
130,20480070.00,00,00
131,20483020.00,00,00
132,20484620.00,00,00
133,20487570.00,00,00
134,20489170.00,00,00
135,20492120.00,00,00
136,20493720.00,00,00
137,20496670.00,00,00
138,20498270.00,00,00
139,20501220.00,00,00
140,20502820.00,00,00
141,20505770.00,00,00
142,20507370.00,67,00
143,20510800.00,50,00
144,20512400.00,80,00
145,22650050.00,02,61
146,22651650.00,87,00
147,22655010.00,80,00
148,22656610.00,00,05
149,22659560.00,05,10
150,22661160.00,85,00
151,22664110.00,00,00
152,22665710.00,0A,00
153,22668660.00,8F,00
154,22670260.00,00,00
155,22673210.00,03,00
156,22674810.00,46,00
157,22677760.00,80,00
158,22679360.00,05,00
159,22682310.00,75,00
160,22683910.00,AA,00
161,22686860.00,0C,00
162,22688460.00,80,00
163,22715210.00,20,00
164,22716810.00,80,00
165,22720170.00,00,00
166,22721770.00,00,00
167,22724720.00,05,00
168,22726320.00,85,00
169,22729270.00,00,00
170,22730870.00,0A,00
171,22733820.00,8F,00
172,22735420.00,00,00
173,22738370.00,03,00
174,22739970.00,46,00
175,22742920.00,80,00
176,22744520.00,05,00
177,22747470.00,75,00
178,22749070.00,BF,00
179,22752020.00,67,00
180,22753620.00,80,00
181,22780570.00,02,50
182,22782170.00,80,80
183,22785540.00,00,00
184,22787140.00,00,00
185,22790090.00,0F,00
186,22791690.00,8F,00
187,22794640.00,00,00
188,22796240.00,1F,00
189,22799190.00,9F,00
190,22800790.00,00,00
191,22803740.00,07,00
192,22805340.00,CF,00
193,22808290.00,80,00
194,22809890.00,0F,00
195,22812840.00,FF,00
196,22814440.00,EF,00
197,22817840.00,FE,00
198,22819440.00,00,00
199,22845970.00,02,00
200,22847570.00,88,00
201,22850940.00,00,00
202,22852540.00,00,00
203,22855490.00,0F,00
204,22857090.00,BF,00
205,22860040.00,80,00
206,22861640.00,0E,00
207,22864590.00,FE,00
208,22866190.00,00,00
209,22869140.00,07,00
210,22870740.00,7D,00
211,22873690.00,80,00
212,22875290.00,0F,00
213,22878240.00,FF,00
214,22879840.00,EF,00
215,22882790.00,F8,00
216,22884390.00,00,00
217,22912850.00,02,61
218,22914450.00,80,80
219,22917810.00,00,00
220,22919410.00,00,07
221,22922360.00,05,87
222,22923960.00,9E,00
223,22926910.00,80,00
224,22928510.00,0A,00
225,22931460.00,7E,00
226,22933060.00,00,00
227,22936010.00,03,00
228,22937610.00,2C,00
229,22940560.00,80,00
230,22942160.00,05,00
231,22945110.00,5E,00
232,22946710.00,8C,00
233,22949660.00,83,00
234,22951260.00,80,00
235,22977800.00,20,00
236,22979400.00,C0,00
237,22982760.00,00,00
238,22984360.00,00,00
239,22987310.00,05,00
240,22988910.00,9E,00
241,22991860.00,80,00
242,22993460.00,0A,00
243,22996410.00,7E,00
244,22998010.00,00,00
245,23000960.00,03,00
246,23002560.00,2C,00
247,23005510.00,80,00
248,23007110.00,05,00
249,23010060.00,5E,00
250,23011660.00,FF,00
251,23014610.00,E1,00
252,23016210.00,00,00
253,23043160.00,02,50
254,23044760.00,80,C0
255,23048120.00,00,00
256,23049720.00,00,00
257,23052670.00,05,00
258,23054270.00,9F,00
259,23057220.00,80,00
260,23058820.00,0E,00
261,23061770.00,7E,00
262,23063370.00,00,00
263,23066320.00,03,00
264,23067920.00,2C,00
265,23070870.00,80,00
266,23072480.00,05,00
267,23075420.00,5F,00
268,23077020.00,8C,00
269,23080440.00,83,00
270,23082040.00,80,00
271,23108580.00,07,00
272,23110180.00,87,00
273,23113540.00,00,00
274,23115140.00,00,00
275,23118090.00,05,00
276,23119690.00,9B,00
277,23122640.00,00,00
278,23124240.00,0A,00
279,23127190.00,92,00
280,23128790.00,00,00
281,23131740.00,03,00
282,23133340.00,22,00
283,23136290.00,80,00
284,23137890.00,05,00
285,23140840.00,4F,00
286,23142440.00,5E,00
287,23145390.00,CB,00
288,23146990.00,80,00
289,23175450.00,02,22
290,23177050.00,80,00
291,23180410.00,00,00
292,23182010.00,00,00
293,23184960.00,05,00
294,23186560.00,9B,00
295,23189510.00,00,00
296,23191110.00,0A,00
297,23194060.00,92,00
298,23195660.00,00,00
299,23198610.00,03,00
300,23200210.00,22,00
301,23203160.00,80,00
302,23204760.00,05,00
303,23207710.00,4F,00
304,23209310.00,1B,00
305,23212260.00,83,00
306,23213860.00,80,00
307,23240400.00,21,00
308,23242000.00,00,00
309,23245360.00,00,00
310,23246960.00,00,00
311,23249910.00,05,00
312,23251510.00,9B,00
313,23254460.00,00,00
314,23256060.00,0A,00
315,23259010.00,92,00
316,23260610.00,00,00
317,23263560.00,03,00
318,23265160.00,22,00
319,23268110.00,80,00
320,23269710.00,05,00
321,23272660.00,4F,00
322,23274260.00,32,00
323,23277210.00,CC,00
324,23278810.00,80,00
325,23305760.00,02,51
326,23307360.00,80,00
327,23310730.00,00,00
328,23312330.00,00,00
329,23315280.00,0F,00
330,23316880.00,BF,00
331,23319830.00,00,00
332,23321430.00,1F,00
333,23325000.00,92,00
334,23326600.00,00,00
335,23329550.00,03,00
336,23331150.00,22,00
337,23334100.00,80,00
338,23335700.00,05,00
339,23338650.00,4F,00
340,23340250.00,1B,00
341,23343680.00,87,00
342,23345280.00,80,00
343,23371810.00,00,00
344,23373410.00,00,00
345,23376780.00,00,00
346,23378380.00,00,00
347,23381330.00,0D,00
348,23382930.00,B8,00
349,23385880.00,80,00
350,23387480.00,0A,00
351,23390430.00,82,00
352,23392030.00,00,00
353,23394980.00,02,00
354,23396580.00,FF,00
355,23399530.00,00,00
356,23401130.00,07,00
357,23404080.00,7F,00
358,23405680.00,0E,00
359,23408630.00,FF,00
360,23410230.00,80,00
361,23438690.00,02,63
362,23440290.00,80,00
363,23443650.00,00,00
364,23445250.00,00,03
365,23448200.00,05,00
366,23449800.00,98,00
367,23452750.00,80,00
368,23454350.00,0A,00
369,23457300.00,82,00
370,23458900.00,00,00
371,23461850.00,02,00
372,23463450.00,FF,00
373,23466400.00,00,00
374,23468000.00,05,00
375,23470950.00,7F,00
376,23472550.00,14,00
377,23475500.00,58,00
378,23477100.00,80,00
379,23503640.00,21,00
380,23505240.00,80,00
381,23508600.00,00,00
382,23510200.00,00,00
383,23513150.00,05,00
384,23514750.00,98,00
385,23517700.00,80,00
386,23519300.00,0A,00
387,23522250.00,82,00
388,23523850.00,00,00
389,23526800.00,02,00
390,23528400.00,FF,00
391,23531350.00,00,00
392,23532950.00,05,00
393,23535900.00,7F,00
394,23537500.00,6A,00
395,23540450.00,69,00
396,23542050.00,80,00
397,23569000.00,02,51
398,23570600.00,80,80
399,23573970.00,00,00
400,23575560.00,00,00
401,23578510.00,0F,00
402,23580110.00,99,00
403,23583070.00,80,00
404,23584670.00,1F,00
405,23587610.00,86,00
406,23589220.00,00,00
407,23592170.00,07,00
408,23593770.00,FF,00
409,23596720.00,00,00
410,23598320.00,0F,00
411,23601270.00,FF,00
412,23602860.00,3C,00
413,23606290.00,58,00
414,23607890.00,80,00
415,23634430.00,03,00
416,23636030.00,00,00
417,23639390.00,00,00
418,23640990.00,00,00
419,23643940.00,05,00
420,23645540.00,A6,00
421,23648490.00,80,00
422,23650090.00,0A,00
423,23653040.00,77,00
424,23654640.00,00,00
425,23657590.00,02,00
426,23659190.00,FB,00
427,23662140.00,80,00
428,23663740.00,05,00
429,23666690.00,65,00
430,23668290.00,6D,00
431,23671240.00,5A,00
432,23672840.00,80,00
433,23701300.00,02,31
434,23702900.00,80,C0
435,23706270.00,00,00
436,23707870.00,00,00
437,23710820.00,0F,00
438,23712420.00,EF,00
439,23715370.00,80,00
440,23716970.00,1E,00
441,23719920.00,FF,00
442,23721520.00,00,00
443,23724470.00,07,00
444,23726070.00,FF,00
445,23729020.00,80,00
446,23730620.00,0F,00
447,23733570.00,EF,00
448,23735170.00,3D,00
449,23738120.00,C8,00
450,23739720.00,00,00
451,23766250.00,21,00
452,23767850.00,C0,00
453,23771220.00,00,00
454,23772820.00,00,00
455,23775770.00,0F,00
456,23777370.00,EF,00
457,23780320.00,80,00
458,23781920.00,1E,00
459,23784870.00,F7,00
460,23786470.00,00,00
461,23789420.00,07,00
462,23791020.00,FF,00
463,23793970.00,80,00
464,23795570.00,0F,00
465,23798520.00,65,00
466,23800120.00,4B,00
467,23803070.00,CE,00
468,23804670.00,00,00
469,23831620.00,02,A3
470,23833220.00,80,80
471,23836580.00,00,00
472,23838180.00,00,00
473,23841130.00,05,00
474,23842730.00,A6,00
475,23845680.00,80,00
476,23847280.00,0A,00
477,23850230.00,77,00
478,23851830.00,00,00
479,23854780.00,02,00
480,23856380.00,FB,00
481,23859330.00,80,00
482,23860930.00,05,00
483,23863880.00,65,00
484,23865480.00,1C,00
485,23868920.00,C8,00
486,23870520.00,00,00
487,23897050.00,00,00
488,23898650.00,00,00
489,23902020.00,00,00
490,23903620.00,00,00
491,23906570.00,05,00
492,23908170.00,CD,00
493,23911120.00,80,00
494,23912720.00,0A,00
495,23915670.00,8E,00
496,23917270.00,80,00
497,23920220.00,03,00
498,23921820.00,43,00
499,23924770.00,00,00
500,23926370.00,05,00
501,23929320.00,6A,00
502,23930920.00,72,00
503,23933870.00,7E,00
504,23935470.00,00,00
505,23963930.00,02,64
506,23965530.00,80,00
507,23968890.00,00,00
508,23970490.00,00,00
509,23973440.00,05,00
510,23975040.00,CD,00
511,23977990.00,80,00
512,23979590.00,0A,00
513,23982540.00,8E,00
514,23984140.00,80,00
515,23987090.00,03,00
516,23988690.00,43,00
517,23991640.00,00,00
518,23993240.00,05,00
519,23996190.00,6A,00
520,23997790.00,68,00
521,24000740.00,D9,00
522,24002340.00,00,00
523,24028880.00,22,00
524,24030480.00,00,00
525,24033840.00,00,00
526,24035440.00,00,00
527,24038390.00,05,00
528,24039990.00,CD,00
529,24042940.00,80,00
530,24044540.00,0A,00
531,24047490.00,8E,00
532,24049090.00,80,00
533,24052040.00,03,00
534,24053640.00,43,00
535,24056590.00,00,00
536,24058190.00,05,00
537,24061140.00,6A,00
538,24062740.00,2A,00
539,24065690.00,A3,00
540,24067290.00,80,00
541,24095820.00,02,A4
542,24097420.00,87,00
543,24100780.00,80,00
544,24102380.00,00,00
545,24105330.00,05,00
546,24106930.00,D8,00
547,24109880.00,80,00
548,24111480.00,0A,00
549,24114430.00,96,00
550,24116030.00,00,00
551,24118980.00,03,00
552,24120580.00,09,00
553,24123530.00,00,00
554,24125130.00,05,00
555,24128080.00,4F,00
556,24129680.00,F9,00
557,24132630.00,9F,00
558,24134230.00,00,00
559,24160770.00,00,00
560,24162370.00,00,00
561,24165730.00,00,00
562,24167330.00,00,00
563,24170280.00,05,00
564,24171880.00,D8,00
565,24174830.00,80,00
566,24176430.00,0A,00
567,24179380.00,96,00
568,24180980.00,00,00
569,24183930.00,03,00
570,24185530.00,09,00
571,24188480.00,00,00
572,24190080.00,05,00
573,24193030.00,4F,00
574,24194630.00,AE,00
575,24197580.00,8E,00
576,24199180.00,80,00
577,24227640.00,02,32
578,24229240.00,80,40
579,24232610.00,00,00
580,24234210.00,00,00
581,24237160.00,0F,00
582,24238760.00,F8,00
583,24241710.00,80,00
584,24243310.00,0F,00
585,24246260.00,96,00
586,24247860.00,00,00
587,24250810.00,07,00
588,24252410.00,1B,00
589,24255360.00,00,00
590,24256960.00,0F,00
591,24259910.00,DF,00
592,24261510.00,BC,00
593,24264460.00,2B,00
594,24266060.00,80,00
595,24292590.00,22,00
596,24294190.00,40,00
597,24297560.00,00,00
598,24299160.00,00,00
599,24302110.00,0F,00
600,24303710.00,D8,00
601,24306660.00,80,00
602,24308260.00,0E,00
603,24311210.00,96,00
604,24312810.00,00,00
605,24315760.00,03,00
606,24317360.00,0B,00
607,24320310.00,00,00
608,24321910.00,05,00
609,24325470.00,4F,00
610,24327070.00,DD,00
611,24330020.00,EC,00
612,24331620.00,00,00
613,24360280.00,02,52
614,24361880.00,87,40
615,24365240.00,80,00
616,24366840.00,00,00
617,24369790.00,05,00
618,24371390.00,A8,00
619,24374340.00,00,00
620,24375940.00,0A,00
621,24378890.00,94,00
622,24380490.00,00,00
623,24383440.00,03,00
624,24385040.00,06,00
625,24387990.00,00,00
626,24389590.00,05,00
627,24392540.00,3A,00
628,24394140.00,8B,00
629,24397090.00,83,00
630,24398690.00,80,00
631,24425230.00,00,00
632,24426830.00,00,00
633,24430190.00,00,00
634,24431790.00,00,00
635,24434740.00,05,00
636,24436340.00,B8,00
637,24439300.00,00,00
638,24440890.00,0A,00
639,24443840.00,94,00
640,24445450.00,00,00
641,24448390.00,03,00
642,24449990.00,06,00
643,24452950.00,00,00
644,24454550.00,0E,00
645,24457500.00,7F,00
646,24459100.00,FC,00
647,24462040.00,A4,00
648,24463650.00,00,00
649,24492110.00,02,67
650,24493710.00,80,00
651,24497070.00,00,00
652,24498670.00,00,00
653,24501620.00,05,00
654,24503220.00,A8,00
655,24506170.00,00,00
656,24507770.00,0A,00
657,24510720.00,94,00
658,24512320.00,00,00
659,24515270.00,03,00
660,24516870.00,06,00
661,24519820.00,00,00
662,24521420.00,05,00
663,24524370.00,3A,00
664,24525970.00,C6,00
665,24528920.00,35,00
666,24530520.00,00,00
667,24557060.00,23,00
668,24558660.00,80,00
669,24562020.00,00,00
670,24563620.00,00,00
671,24566570.00,05,00
672,24568170.00,A8,00
673,24571120.00,00,00
674,24572720.00,0A,00
675,24575670.00,94,00
676,24577270.00,00,00
677,24580220.00,03,00
678,24581820.00,06,00
679,24584770.00,00,00
680,24586370.00,05,00
681,24589320.00,3A,00
682,24590920.00,F5,00
683,24593870.00,DD,00
684,24595470.00,00,00
685,24624000.00,07,A7
686,24625600.00,8F,00
687,24628960.00,80,00
688,24630560.00,00,00
689,24633510.00,05,00
690,24635110.00,A5,00
691,24638060.00,00,00
692,24639660.00,0A,00
693,24642610.00,91,00
694,24644210.00,00,00
695,24647160.00,03,00
696,24648760.00,16,00
697,24651710.00,80,00
698,24653310.00,05,00
699,24656260.00,77,00
700,24657860.00,C3,00
701,24660810.00,8B,00
702,24662410.00,80,00
703,24688810.00,00,00
704,24690410.00,00,00
705,24693770.00,00,00
706,24695370.00,00,00
707,24698320.00,05,00
708,24699920.00,A5,00
709,24702870.00,00,00
710,24704470.00,0A,00
711,24707420.00,91,00
712,24709020.00,00,00
713,24711970.00,03,00
714,24713570.00,16,00
715,24716520.00,80,00
716,24718120.00,05,00
717,24721070.00,77,00
718,24722670.00,94,00
719,24725620.00,9A,00
720,24727220.00,00,00
721,24755680.00,02,34
722,24757280.00,80,C0
723,24760650.00,00,00
724,24762250.00,00,00
725,24765200.00,0F,00
726,24766800.00,A5,00
727,24769750.00,00,00
728,24771350.00,0A,00
729,24774300.00,91,00
730,24775900.00,00,00
731,24778850.00,03,00
732,24780450.00,36,00
733,24783400.00,80,00
734,24785000.00,05,00
735,24787950.00,77,00
736,24789550.00,8E,00
737,24792500.00,3D,00
738,24794100.00,00,00
739,24820630.00,24,00
740,24822230.00,C0,00
741,24825600.00,00,00
742,24827200.00,00,00
743,24830150.00,05,00
744,24831750.00,A7,00
745,24834700.00,00,00
746,24836300.00,0A,00
747,24839250.00,91,00
748,24840850.00,00,00
749,24843800.00,03,00
750,24845400.00,16,00
751,24848350.00,80,00
752,24849950.00,05,00
753,24852900.00,77,00
754,24854500.00,EE,00
755,24857450.00,FD,00
756,24859050.00,00,00
757,24885950.00,02,A9
758,24887550.00,87,80
759,24890910.00,80,00
760,24892510.00,00,00
761,24895460.00,05,00
762,24897060.00,AA,00
763,24900010.00,80,00
764,24901610.00,0A,00
765,24904560.00,85,00
766,24906160.00,00,00
767,24909110.00,03,00
768,24910710.00,01,00
769,24913660.00,00,00
770,24915260.00,05,00
771,24918210.00,7C,00
772,24919810.00,1C,00
773,24922760.00,8E,00
774,24924360.00,80,00
775,24950670.00,00,00
776,24952270.00,00,00
777,24955630.00,00,00
778,24957240.00,00,00
779,24960190.00,0F,00
780,24961790.00,FF,00
781,24964730.00,80,00
782,24966330.00,1E,00
783,24969290.00,0A,00
784,24970880.00,00,00
785,24973840.00,07,00
786,24975440.00,03,00
787,24978390.00,00,00
788,24979990.00,0F,00
789,24982940.00,FC,00
790,24984530.00,5F,00
791,24987490.00,BF,00
792,24989090.00,00,00
793,25017550.00,02,6C
794,25019150.00,80,00
795,25022510.00,00,00
796,25024110.00,00,00
797,25027060.00,05,00
798,25028660.00,AA,00
799,25031610.00,80,00
800,25033210.00,0A,00
801,25036160.00,85,00
802,25037760.00,00,00
803,25040710.00,03,00
804,25042310.00,01,00
805,25045260.00,00,00
806,25046860.00,05,00
807,25049810.00,7C,00
808,25051410.00,51,00
809,25054360.00,38,00
810,25055960.00,00,00
811,25082500.00,26,00
812,25084100.00,00,00
813,25087460.00,00,00
814,25089060.00,00,00
815,25092010.00,05,00
816,25093610.00,AA,00
817,25096560.00,80,00
818,25098160.00,0A,00
819,25101110.00,85,00
820,25102710.00,00,00
821,25105660.00,03,00
822,25107260.00,01,00
823,25110210.00,00,00
824,25111810.00,05,00
825,25114760.00,7C,00
826,25116360.00,00,00
827,25119800.00,E0,00
828,25121400.00,00,00
829,25148490.00,03,AC
830,25150090.00,87,00
831,25153450.00,80,00
832,25155050.00,00,00
833,25158000.00,05,00
834,25159600.00,9E,00
835,25162550.00,00,00
836,25164150.00,0A,00
837,25167100.00,6E,00
838,25168700.00,00,00
839,25171650.00,03,00
840,25173250.00,0A,00
841,25176200.00,00,00
842,25177800.00,05,00
843,25180750.00,7D,00
844,25182350.00,76,00
845,25185300.00,70,00
846,25186900.00,00,00
847,25213210.00,00,00
848,25214810.00,00,00
849,25218170.00,00,00
850,25219770.00,00,00
851,25222720.00,05,00
852,25224320.00,9E,00
853,25227270.00,00,00
854,25228870.00,0A,00
855,25231820.00,6E,00
856,25233420.00,00,00
857,25236370.00,03,00
858,25237970.00,0A,00
859,25240920.00,00,00
860,25242520.00,05,00
861,25245470.00,7D,00
862,25247070.00,21,00
863,25250020.00,61,00
864,25251620.00,80,00
865,25280090.00,02,65
866,25281690.00,80,00
867,25285050.00,00,00
868,25286650.00,00,00
869,25289600.00,05,00
870,25291200.00,9E,00
871,25294150.00,00,00
872,25295750.00,0A,00
873,25298700.00,6E,00
874,25300300.00,00,00
875,25303250.00,03,00
876,25304850.00,0A,00
877,25307800.00,00,00
878,25309400.00,05,00
879,25312350.00,7D,00
880,25313950.00,3B,00
881,25316900.00,C6,00
882,25318500.00,80,00
883,25345600.00,22,00
884,25347200.00,80,00
885,25350560.00,00,00
886,25352160.00,00,00
887,25355110.00,05,00
888,25356710.00,9E,00
889,25359660.00,00,00
890,25361260.00,0A,00
891,25364210.00,6E,00
892,25365810.00,00,00
893,25368760.00,03,00
894,25370360.00,0A,00
895,25373310.00,00,00
896,25374910.00,05,00
897,25377860.00,7D,00
898,25379460.00,2E,00
899,25382890.00,C2,00
900,25384490.00,00,00
901,25411580.00,07,95
902,25413180.00,8F,00
903,25416540.00,80,00
904,25418140.00,00,00
905,25421090.00,05,00
906,25422690.00,B9,00
907,25425640.00,00,00
908,25427240.00,0A,00
909,25430190.00,9B,00
910,25431790.00,00,00
911,25434740.00,02,00
912,25436340.00,DE,00
913,25439290.00,80,00
914,25440890.00,05,00
915,25443840.00,74,00
916,25445440.00,67,00
917,25448390.00,68,00
918,25449990.00,00,00
919,25476300.00,00,00
920,25477900.00,00,00
921,25481260.00,00,00
922,25482860.00,00,00
923,25485810.00,05,00
924,25487410.00,B9,00
925,25490360.00,00,00
926,25491960.00,0A,00
927,25494910.00,9B,00
928,25496510.00,00,00
929,25499460.00,02,00
930,25501060.00,DE,00
931,25504010.00,80,00
932,25505610.00,05,00
933,25508560.00,74,00
934,25510160.00,30,00
935,25513110.00,79,00
936,25514710.00,80,00
937,25543180.00,07,65
938,25544780.00,80,80
939,25548140.00,00,00
940,25549740.00,00,00
941,25552690.00,05,00
942,25554290.00,B9,00
943,25557240.00,00,00
944,25558840.00,0A,00
945,25561790.00,9B,00
946,25563390.00,00,00
947,25566340.00,02,00
948,25567940.00,DE,00
949,25570890.00,80,00
950,25572490.00,05,00
951,25575440.00,74,00
952,25577040.00,2A,00
953,25579990.00,DE,00
954,25581590.00,80,00
955,25608130.00,27,00
956,25609730.00,C0,00
957,25613090.00,00,00
958,25614690.00,00,00
959,25617640.00,05,00
960,25619240.00,B9,00
961,25622190.00,00,00
962,25623790.00,0A,00
963,25626740.00,9B,00
964,25628340.00,00,00
965,25631290.00,02,00
966,25632890.00,DE,00
967,25635840.00,80,00
968,25637440.00,05,00
969,25640390.00,74,00
970,25641990.00,14,00
971,25645430.00,6D,00
972,25647030.00,00,00
973,25674110.00,02,52
974,25675710.00,87,C0
975,25679080.00,80,00
976,25680680.00,00,00
977,25683630.00,05,00
978,25685230.00,C4,00
979,25688180.00,80,00
980,25689780.00,0A,00
981,25692730.00,99,00
982,25694330.00,00,00
983,25697280.00,02,00
984,25698880.00,DE,00
985,25701830.00,80,00
986,25703430.00,05,00
987,25706380.00,71,00
988,25707980.00,37,00
989,25710930.00,36,00
990,25712530.00,80,00
991,25738840.00,00,00
992,25740440.00,00,00
993,25743800.00,00,00
994,25745400.00,00,00
995,25748350.00,05,00
996,25749950.00,C4,00
997,25752900.00,80,00
998,25754500.00,0A,00
999,25757450.00,99,00
1000,25759050.00,00,00
1001,25762000.00,02,00
1002,25763600.00,DE,00
1003,25766550.00,80,00
1004,25768150.00,05,00
1005,25771100.00,71,00
1006,25772700.00,60,00
1007,25775650.00,27,00
1008,25777250.00,00,00
1009,25805710.00,07,37
1010,25807320.00,80,80
1011,25810680.00,00,00
1012,25812280.00,00,00
1013,25815230.00,05,00
1014,25816830.00,C4,00
1015,25819780.00,80,00
1016,25821380.00,0A,00
1017,25824330.00,99,00
1018,25825930.00,00,00
1019,25828880.00,02,00
1020,25830480.00,DE,00
1021,25833430.00,80,00
1022,25835030.00,05,00
1023,25837980.00,71,00
1024,25839580.00,7A,00
1025,25842530.00,80,00
1026,25844130.00,00,00
1027,25870670.00,67,00
1028,25872270.00,C0,00
1029,25875630.00,00,00
1030,25877230.00,00,00
1031,25880180.00,05,00
1032,25881780.00,C4,00
1033,25884730.00,80,00
1034,25886330.00,0A,00
1035,25889280.00,99,00
1036,25890880.00,00,00
1037,25893830.00,02,00
1038,25895430.00,DE,00
1039,25898380.00,80,00
1040,25899980.00,05,00
1041,25902930.00,71,00
1042,25904530.00,62,00
1043,25907950.00,D7,00
1044,25909550.00,00,00
1045,25936640.00,02,67
1046,25938240.00,87,80
1047,25941600.00,80,00
1048,25943200.00,00,00
1049,25946150.00,05,00
1050,25947750.00,C0,00
1051,25950700.00,80,00
1052,25952300.00,0A,00
1053,25955250.00,B7,00
1054,25956850.00,00,00
1055,25959800.00,03,00
1056,25961400.00,13,00
1057,25964350.00,00,00
1058,25965950.00,05,00
1059,25968900.00,61,00
1060,25970500.00,47,00
1061,25973450.00,75,00
1062,25975050.00,00,00
1063,26001370.00,00,00
1064,26002970.00,00,00
1065,26006330.00,00,00
1066,26007930.00,00,00
1067,26010880.00,05,00
1068,26012480.00,C0,00
1069,26015430.00,80,00
1070,26017030.00,0A,00
1071,26019980.00,B7,00
1072,26021580.00,00,00
1073,26024530.00,03,00
1074,26026130.00,13,00
1075,26029080.00,00,00
1076,26030680.00,05,00
1077,26033630.00,61,00
1078,26035230.00,10,00
1079,26038180.00,64,00
1080,26039780.00,80,00
1081,26068240.00,02,34
1082,26069840.00,80,00
1083,26073200.00,00,00
1084,26074800.00,00,00
1085,26077750.00,05,00
1086,26079350.00,C0,00
1087,26082300.00,80,00
1088,26083900.00,0A,00
1089,26086850.00,B7,00
1090,26088450.00,00,00
1091,26091400.00,03,00
1092,26093000.00,13,00
1093,26095950.00,00,00
1094,26097550.00,05,00
1095,26100500.00,61,00
1096,26102100.00,0A,00
1097,26105050.00,C3,00
1098,26106650.00,80,00
1099,26133190.00,24,00
1100,26134790.00,00,00
1101,26138150.00,00,00
1102,26139750.00,00,00
1103,26142700.00,05,00
1104,26144300.00,C0,00
1105,26147250.00,80,00
1106,26148850.00,0A,00
1107,26151800.00,B7,00
1108,26153400.00,00,00
1109,26156350.00,03,00
1110,26157950.00,13,00
1111,26160900.00,00,00
1112,26162500.00,05,00
1113,26165450.00,61,00
1114,26167050.00,36,00
1115,26170480.00,C2,00
1116,26172080.00,80,00
1117,26199170.00,02,A8
1118,26200770.00,87,00
1119,26204130.00,80,00
1120,26205730.00,00,00
1121,26208680.00,05,00
1122,26210280.00,AE,00
1123,26213230.00,00,00
1124,26214830.00,0A,00
