Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,20003480.00,20,06
2,20005080.00,00,55
3,20008440.00,00,00
4,20010040.00,00,00
5,20012990.00,00,00
6,20014590.00,00,00
7,20017540.00,00,00
8,20019140.00,00,00
9,20022090.00,00,00
10,20023690.00,00,00
11,20026640.00,49,00
12,20028240.00,91,00
13,20031190.00,83,00
14,20032790.00,2A,00
15,20035740.00,80,00
16,20037340.00,00,00
17,20040290.00,00,00
18,20041890.00,00,00
19,20055970.00,00,00
20,20057570.00,00,00
21,20060930.00,00,00
22,20062530.00,00,00
23,20065480.00,00,00
24,20067080.00,00,00
25,20070030.00,00,00
26,20071630.00,00,00
27,20074580.00,00,00
28,20076180.00,00,00
29,20079130.00,70,00
30,20080730.00,9C,00
31,20083680.00,80,00
32,20085280.00,00,00
33,20088230.00,00,00
34,20089830.00,00,00
35,20092780.00,00,00
36,20094380.00,00,00
37,20109280.00,00,61
38,20110880.00,00,00
39,20114240.00,00,00
40,20115840.00,00,02
41,20118790.00,00,88
42,20120390.00,00,00
43,20123340.00,00,00
44,20124940.00,00,00
45,20127890.00,00,00
46,20129490.00,00,00
47,20132440.00,70,00
48,20134040.00,9C,00
49,20136990.00,A0,00
50,20138590.00,80,00
51,20141540.00,00,00
52,20143140.00,00,00
53,20146090.00,00,00
54,20147690.00,00,00
55,20161570.00,00,00
56,20163170.00,00,00
57,20166530.00,00,00
58,20168130.00,00,00
59,20171080.00,00,00
60,20172680.00,00,00
61,20175630.00,00,00
62,20177230.00,00,00
63,20180180.00,00,00
64,20181780.00,00,00
65,20184730.00,70,00
66,20186330.00,9C,00
67,20189280.00,80,00
68,20190880.00,00,00
69,20193830.00,00,00
70,20195430.00,00,00
71,20198380.00,00,00
72,20199980.00,00,00
73,20215980.00,00,A1
74,20217580.00,07,00
75,20220940.00,AA,00
76,20222540.00,8E,00
77,20225490.00,C0,00
78,20227090.00,00,00
79,20230040.00,23,00
80,20231640.00,F1,00
81,20234590.00,9A,00
82,20236190.00,83,00
83,20239140.00,DF,00
84,20240740.00,D8,00
85,20243690.00,80,00
86,20245290.00,02,00
87,20248240.00,AA,00
88,20249840.00,8E,00
89,20252790.00,C0,00
90,20254390.00,00,00
91,20268270.00,00,00
92,20269870.00,00,00
93,20273230.00,2A,00
94,20274830.00,8E,00
95,20277780.00,C0,00
96,20279380.00,00,00
97,20282330.00,23,00
98,20283930.00,F1,00
99,20286880.00,9A,00
100,20288480.00,83,00
101,20291430.00,93,00
102,20293030.00,F2,00
103,20295980.00,80,00
104,20297580.00,00,00
105,20300530.00,2A,00
106,20302130.00,8E,00
107,20305080.00,C0,00
108,20306680.00,00,00
