Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,134440.00,C6,00
2,136040.00,0F,00
3,137640.00,80,00
4,139240.00,0F,00
5,140840.00,80,00
6,142440.00,0F,00
7,144040.00,80,00
8,145640.00,04,00
9,147240.00,00,00
10,148840.00,06,00
11,150440.00,68,00
12,152040.00,E7,00
13,153640.00,C6,00
14,155240.00,00,00
15,156840.00,00,00
16,158440.00,06,00
17,160040.00,80,00
18,161640.00,0B,00
19,390490.00,42,00
20,392090.00,07,00
21,393690.00,80,00
22,395290.00,06,00
23,396890.00,80,00
24,398490.00,0B,00
25,400090.00,80,00
26,401690.00,04,00
27,403290.00,00,00
28,404890.00,06,00
29,406490.00,68,00
30,408090.00,E2,00
31,409690.00,C2,00
32,411290.00,00,00
33,412890.00,00,00
34,414490.00,06,00
35,416090.00,80,00
36,417690.00,0B,00
37,646440.00,42,00
38,648040.00,07,00
39,649640.00,80,00
40,651240.00,06,00
41,652840.00,80,00
42,654440.00,0B,00
43,656040.00,80,00
44,657640.00,04,00
45,659240.00,00,00
46,660840.00,06,00
47,662440.00,68,00
48,664040.00,E2,00
49,665640.00,C2,00
50,667240.00,00,00
51,668840.00,00,00
52,670440.00,06,00
53,672040.00,80,00
54,673640.00,0B,00
55,902440.00,42,00
56,904040.00,07,00
57,905640.00,80,00
58,907240.00,06,00
59,908840.00,80,00
60,910440.00,0B,00
61,912040.00,80,00
62,913640.00,04,00
63,915240.00,00,00
64,916840.00,06,00
65,918440.00,68,00
66,920040.00,E2,00
67,921640.00,C2,00
68,923240.00,00,00
69,924840.00,00,00
70,926440.00,06,00
71,928040.00,80,00
72,929640.00,0B,00
73,1158440.00,42,00
74,1160040.00,07,00
75,1161640.00,80,00
76,1163240.00,06,00
77,1164840.00,80,00
78,1166440.00,0B,00
79,1168040.00,80,00
80,1169640.00,04,00
81,1171240.00,00,00
82,1172840.00,06,00
83,1174440.00,68,00
84,1176040.00,E2,00
85,1177640.00,C2,00
86,1179240.00,00,00
87,1180840.00,00,00
88,1182440.00,06,00
89,1184040.00,80,00
90,1185640.00,0B,00
91,1414440.00,42,00
92,1416040.00,07,00
93,1417640.00,80,00
94,1419240.00,06,00
95,1420840.00,80,00
96,1422440.00,0B,00
97,1424040.00,80,00
98,1425640.00,04,00
99,1427240.00,00,00
100,1428840.00,06,00
101,1430440.00,68,00
102,1432040.00,E2,00
103,1433640.00,C2,00
104,1435240.00,00,00
105,1436840.00,00,00
106,1438440.00,06,00
107,1440040.00,80,00
108,1441640.00,0B,00
109,1670450.00,C2,00
110,1672050.00,07,00
111,1673640.00,80,00
112,1675250.00,07,00
113,1676850.00,80,00
114,1678450.00,1F,00
115,1680050.00,80,00
116,1681650.00,0C,00
117,1683250.00,00,00
118,1684840.00,0F,00
119,1686450.00,E1,00
120,1688050.00,F4,00
121,1689650.00,84,00
122,1691250.00,00,00
123,1692850.00,00,00
124,1694450.00,0F,00
125,1696050.00,80,00
126,1697650.00,1F,00
127,1926450.00,C6,00
128,1928050.00,0F,00
129,1929650.00,80,00
130,1931250.00,0E,00
131,1932850.00,80,00
132,1934450.00,0B,00
133,1936050.00,80,00
134,1937650.00,0C,00
135,1939250.00,00,00
136,1940850.00,06,00
137,1942450.00,F9,00
138,1944050.00,E3,00
139,1945650.00,C2,00
140,1947250.00,00,00
141,1948850.00,00,00
142,1950450.00,0E,00
143,1952050.00,80,00
144,1953650.00,0B,00
145,2182450.00,42,00
146,2184050.00,07,00
147,2185650.00,80,00
148,2187250.00,06,00
149,2188850.00,80,00
150,2190450.00,0B,00
151,2192050.00,80,00
152,2193650.00,04,00
153,2195250.00,00,00
154,2196850.00,06,00
155,2198450.00,68,00
156,2200050.00,E2,00
157,2201650.00,C2,00
158,2203250.00,00,00
159,2204850.00,00,00
160,2206450.00,06,00
161,2208050.00,80,00
162,2209650.00,0B,00
163,2438450.00,42,00
164,2440050.00,07,00
165,2441650.00,80,00
166,2443250.00,06,00
167,2444850.00,80,00
168,2446450.00,0B,00
169,2448050.00,80,00
170,2449650.00,04,00
171,2451250.00,00,00
172,2452850.00,06,00
173,2454450.00,68,00
174,2456050.00,E2,00
175,2457650.00,C2,00
176,2459250.00,00,00
177,2460850.00,00,00
178,2462450.00,06,00
179,2464050.00,80,00
180,2465650.00,0B,00
181,2694450.00,42,00
182,2696050.00,07,00
183,2697650.00,80,00
184,2699250.00,06,00
185,2700850.00,80,00
186,2702450.00,0B,00
187,2704050.00,80,00
188,2705650.00,04,00
189,2707250.00,00,00
190,2708850.00,06,00
191,2710450.00,68,00
192,2712050.00,E2,00
193,2713650.00,C2,00
194,2715250.00,00,00
195,2716850.00,00,00
196,2718450.00,06,00
197,2720050.00,80,00
198,2721650.00,0B,00
199,2950450.00,42,00
200,2952050.00,07,00
201,2953650.00,80,00
202,2955250.00,06,00
203,2956850.00,80,00
204,2958450.00,0B,00
205,2960050.00,80,00
206,2961650.00,03,00
207,2963250.00,80,00
208,2964850.00,06,00
209,2966450.00,7E,00
210,2968050.00,FA,00
211,2969650.00,42,00
212,2971250.00,00,00
213,2972850.00,00,00
214,2974450.00,06,00
215,2976050.00,80,00
216,2977650.00,0B,00
217,3206500.00,42,00
218,3208100.00,07,00
219,3209700.00,80,00
220,3211300.00,06,00
221,3212900.00,80,00
222,3214500.00,0B,00
223,3216100.00,80,00
224,3217700.00,03,00
225,3219300.00,80,00
226,3220900.00,06,00
227,3222500.00,7E,00
228,3224100.00,FA,00
229,3225700.00,42,00
230,3227300.00,00,00
231,3228900.00,00,00
232,3230500.00,06,00
233,3232100.00,80,00
234,3233700.00,0B,00
235,3462450.00,42,00
236,3464060.00,0F,00
237,3465660.00,80,00
